id  fish_id fish_group_id
1	1	1
2	7	1
3	19	15
4	2	14
5	2	14
6	2	15
7	2	14
8	2	14
9	18	1
10	18	2
11	4	4
12	4	5
13	4	6
14	10	1
15	4	4
16	4	4
17	4	4
18	4	4
19	10	1
20	10	1
21	1	2
22	1	3
23	6	2
24	6	2
25	17	1
26	17	1
27	17	1
28	17	1
29	6	2
30	6	2
31	14	1
32	3	7
33	3	8
34	14	1
35	2	10
36	2	9
37	2	11
38	14	1
39	3	7
40	14	1
41	17	1
42	17	1
43	19	1
44	18	1
45	8	2
46	8	2
47	8	2
48	18	1
49	8	2
50	19	1
51	2	5
52	2	9
53	2	13
54	2	13
55	2	6
56	2	10
57	2	13
58	2	13
59	17	1
60	2	5
61	2	11
62	5	16
63	5	15
64	2	6
65	2	5
66	1	2
67	2	10
68	18	15
69	2	11
70	18	15
71	18	1
72	18	1
73	17	1
74	18	1
75	15	1
76	18	1
77	19	1
78	15	1
79	19	1
80	15	1
81	2	12
82	12	1
83	19	1
84	19	1
85	12	1
86	12	1
87	12	1
88	2	5
89	12	1
90	2	5
91	3	7
92	3	8
93	3	7
94	3	7
95	3	8
96	3	15
97	3	15
98	3	7
99	18	1
100	3	15
